data      ;hora ;canal;valor ;estado
2026-02-22;01:43;VERD ; 59.15;espe
2026-03-23;02:50;AZUL ; 10.12;espe
2026-04-24;03:57;VERM ; 11.32;espe
2026-05-25;04:04;VERD ; 12.06;espe
2026-06-26;05:11;AZUL ; 13.28;espe
2026-07-27;06:18;VERM ; 14.20;espe
2026-08-28;07:25;VERD ; 15.19;espe
2026-09-01;08:32;AZUL ; 16.65;falh
2026-10-02;09:39;VERM ; 17.46;falh
2026-11-03;10:46;VERD ; 18.47;falh
2026-12-04;11:53;AZUL ; 19.36;falh
2026-01-05;12:00;VERM ; 20.54;falh
2026-02-06;13:07;VERD ; 21.79;falh
2026-03-07;14:14;AZUL ; 22.31;falh
2026-04-08;15:21;VERM ; 23.07;ok  
2026-05-09;16:28;VERD ; 24.48;ok  
2026-06-10;17:35;AZUL ; 25.38;ok  
2026-07-11;18:42;VERM ; 26.78;ok  
2026-08-12;19:49;VERD ; 27.11;ok  
2026-09-13;20:56;AZUL ; 28.87;ok  
2026-10-14;21:03;VERM ; 29.01;ok  
2026-11-15;22:10;VERD ; 30.54;espe
2026-12-16;23:17;AZUL ; 31.44;espe
2026-01-17;00:24;VERM ; 32.32;espe
2026-02-18;01:31;VERD ; 33.89;espe
2026-03-19;02:38;AZUL ; 34.70;espe
2026-04-20;03:45;VERM ; 35.16;espe
2026-05-21;04:52;VERD ; 36.49;espe
2026-06-22;05:59;AZUL ; 37.61;falh
2026-07-23;06:06;VERM ; 38.03;falh
2026-08-24;07:13;VERD ; 39.09;falh
2026-09-25;08:20;AZUL ; 40.60;falh
2026-10-26;09:27;VERM ; 41.73;falh
2026-11-27;10:34;VERD ; 42.46;falh
2026-12-28;11:41;AZUL ; 43.42;falh
2026-01-01;12:48;VERM ; 44.51;ok  
2026-02-02;13:55;VERD ; 45.26;ok  
2026-03-03;14:02;AZUL ; 46.88;ok  
2026-04-04;15:09;VERM ; 47.96;ok  
2026-05-05;16:16;VERD ; 48.48;ok  
2026-06-06;17:23;AZUL ; 49.02;ok  
2026-07-07;18:30;VERM ; 50.40;ok  
2026-08-08;19:37;VERD ; 51.80;espe
2026-09-09;20:44;AZUL ; 52.32;espe
2026-10-10;21:51;VERM ; 53.11;espe
2026-11-11;22:58;VERD ; 54.19;espe
2026-12-12;23:05;AZUL ; 55.71;espe
2026-01-13;00:12;VERM ; 56.62;espe
2026-02-14;01:19;VERD ; 57.29;espe
2026-03-15;02:26;AZUL ; 58.62;falh
2026-04-16;03:33;VERM ; 59.76;falh
2026-05-17;04:40;VERD ; 10.97;falh
2026-06-18;05:47;AZUL ; 11.83;falh
2026-07-19;06:54;VERM ; 12.43;falh
2026-08-20;07:01;VERD ; 13.81;falh
2026-09-21;08:08;AZUL ; 14.93;falh
2026-10-22;09:15;VERM ; 15.87;ok  
2026-11-23;10:22;VERD ; 16.75;ok  
2026-12-24;11:29;AZUL ; 17.59;ok  
2026-01-25;12:36;VERM ; 18.51;ok  
2026-02-26;13:43;VERD ; 19.85;ok  
2026-03-27;14:50;AZUL ; 20.63;ok  
2026-04-28;15:57;VERM ; 21.72;ok  
2026-05-01;16:04;VERD ; 22.23;espe
2026-06-02;17:11;AZUL ; 23.09;espe
2026-07-03;18:18;VERM ; 24.27;espe
2026-08-04;19:25;VERD ; 25.58;espe
2026-09-05;20:32;AZUL ; 26.57;espe
2026-10-06;21:39;VERM ; 27.20;espe
2026-11-07;22:46;VERD ; 28.19;espe
2026-12-08;23:53;AZUL ; 29.95;falh
2026-01-09;00:00;VERM ; 30.07;falh
2026-02-10;01:07;VERD ; 31.93;falh
2026-03-11;02:14;AZUL ; 32.77;falh
2026-04-12;03:21;VERM ; 33.57;falh
2026-05-13;04:28;VERD ; 35.00;falh
2026-06-14;05:35;AZUL ; 35.68;falh
2026-07-15;06:42;VERM ; 36.01;ok  
2026-08-16;07:49;VERD ; 37.94;ok  
2026-09-17;08:56;AZUL ; 38.41;ok  
2026-10-18;09:03;VERM ; 39.92;ok  
2026-11-19;10:10;VERD ; 40.81;ok  
2026-12-20;11:17;AZUL ; 41.14;ok  
2026-01-21;12:24;VERM ; 42.04;ok  
2026-02-22;13:31;VERD ; 43.02;espe
2026-03-23;14:38;AZUL ; 44.78;espe
2026-04-24;15:45;VERM ; 45.79;espe
2026-05-25;16:52;VERD ; 46.23;espe
2026-06-26;17:59;AZUL ; 47.11;espe
2026-07-27;18:06;VERM ; 48.37;espe
2026-08-28;19:13;VERD ; 49.80;espe
2026-09-01;20:20;AZUL ; 50.74;falh
2026-10-02;21:27;VERM ; 51.87;falh
2026-11-03;22:34;VERD ; 52.97;falh
2026-12-04;23:41;AZUL ; 53.75;falh
2026-01-05;00:48;VERM ; 54.84;falh
2026-02-06;01:55;VERD ; 55.02;falh
2026-03-07;02:02;AZUL ; 56.01;falh
2026-04-08;03:09;VERM ; 57.86;ok  
2026-05-09;04:16;VERD ; 58.62;ok  
2026-06-10;05:23;AZUL ; 59.33;ok  
2026-07-11;06:30;VERM ; 10.13;ok  
2026-08-12;07:37;VERD ; 11.33;ok  
2026-09-13;08:44;AZUL ; 12.34;ok  
2026-10-14;09:51;VERM ; 13.50;ok  
2026-11-15;10:58;VERD ; 14.45;espe
2026-12-16;11:05;AZUL ; 15.20;espe
2026-01-17;12:12;VERM ; 16.08;espe
2026-02-18;13:19;VERD ; 17.20;espe
2026-03-19;14:26;AZUL ; 18.13;espe
2026-04-20;15:33;VERM ; 19.10;espe
2026-05-21;16:40;VERD ; 20.41;espe
2026-06-22;17:47;AZUL ; 21.13;falh
2026-07-23;18:54;VERM ; 22.80;falh
2026-08-24;19:01;VERD ; 23.54;falh
2026-09-25;20:08;AZUL ; 24.46;falh
2026-10-26;21:15;VERM ; 25.64;falh
2026-11-27;22:22;VERD ; 26.23;falh
2026-12-28;23:29;AZUL ; 27.02;falh
2026-01-01;00:36;VERM ; 28.08;ok  
2026-02-02;01:43;VERD ; 29.34;ok  
2026-03-03;02:50;AZUL ; 30.36;ok  
2026-04-04;03:57;VERM ; 31.25;ok  
2026-05-05;04:04;VERD ; 32.31;ok  
2026-06-06;05:11;AZUL ; 33.83;ok  
2026-07-07;06:18;VERM ; 34.01;ok  
2026-08-08;07:25;VERD ; 35.45;espe
2026-09-09;08:32;AZUL ; 36.38;espe
2026-10-10;09:39;VERM ; 37.28;espe
2026-11-11;10:46;VERD ; 38.72;espe
2026-12-12;11:53;AZUL ; 39.22;espe
2026-01-13;12:00;VERM ; 40.04;espe
2026-02-14;13:07;VERD ; 41.16;espe
2026-03-15;14:14;AZUL ; 42.98;falh
2026-04-16;15:21;VERM ; 43.35;falh
2026-05-17;16:28;VERD ; 44.12;falh
2026-06-18;17:35;AZUL ; 45.97;falh
2026-07-19;18:42;VERM ; 46.65;falh
2026-08-20;19:49;VERD ; 47.96;falh
2026-09-21;20:56;AZUL ; 48.33;falh
2026-10-22;21:03;VERM ; 49.81;ok  
2026-11-23;22:10;VERD ; 50.04;ok  
2026-12-24;23:17;AZUL ; 51.24;ok  
2026-01-25;00:24;VERM ; 52.79;ok  
2026-02-26;01:31;VERD ; 53.52;ok  
2026-03-27;02:38;AZUL ; 54.79;ok  
2026-04-28;03:45;VERM ; 55.39;ok  
2026-05-01;04:52;VERD ; 56.88;espe
2026-06-02;05:59;AZUL ; 57.08;espe
2026-07-03;06:06;VERM ; 58.62;espe
2026-08-04;07:13;VERD ; 59.19;espe
2026-09-05;08:20;AZUL ; 10.20;espe
2026-10-06;09:27;VERM ; 11.88;espe
2026-11-07;10:34;VERD ; 12.43;espe
2026-12-08;11:41;AZUL ; 13.81;falh
2026-01-09;12:48;VERM ; 14.28;falh
2026-02-10;13:55;VERD ; 15.73;falh
2026-03-11;14:02;AZUL ; 16.91;falh
2026-04-12;15:09;VERM ; 17.63;falh
2026-05-13;16:16;VERD ; 18.23;falh
2026-06-14;17:23;AZUL ; 19.67;falh
2026-07-15;18:30;VERM ; 20.95;ok  
2026-08-16;19:37;VERD ; 21.80;ok  
2026-09-17;20:44;AZUL ; 22.44;ok  
2026-10-18;21:51;VERM ; 23.40;ok  
2026-11-19;22:58;VERD ; 24.10;ok  
2026-12-20;23:05;AZUL ; 25.77;ok  
2026-01-21;00:12;VERM ; 26.16;ok  
2026-02-22;01:19;VERD ; 27.22;espe
2026-03-23;02:26;AZUL ; 28.03;espe
2026-04-24;03:33;VERM ; 29.16;espe
2026-05-25;04:40;VERD ; 30.38;espe
2026-06-26;05:47;AZUL ; 31.48;espe
2026-07-27;06:54;VERM ; 32.18;espe
2026-08-28;07:01;VERD ; 33.42;espe
2026-09-01;08:08;AZUL ; 34.76;falh
2026-10-02;09:15;VERM ; 35.10;falh
2026-11-03;10:22;VERD ; 36.14;falh
2026-12-04;11:29;AZUL ; 37.52;falh
2026-01-05;12:36;VERM ; 38.90;falh
2026-02-06;13:43;VERD ; 39.92;falh
2026-03-07;14:50;AZUL ; 40.57;falh
2026-04-08;15:57;VERM ; 41.09;ok  
2026-05-09;16:04;VERD ; 42.87;ok  
2026-06-10;17:11;AZUL ; 43.99;ok  
2026-07-11;18:18;VERM ; 44.90;ok  
2026-08-12;19:25;VERD ; 45.53;ok  
2026-09-13;20:32;AZUL ; 46.38;ok  
2026-10-14;21:39;VERM ; 47.59;ok  
2026-11-15;22:46;VERD ; 48.79;espe
2026-12-16;23:53;AZUL ; 49.99;espe
2026-01-17;00:00;VERM ; 50.49;espe
2026-02-18;01:07;VERD ; 51.51;espe
2026-03-19;02:14;AZUL ; 52.31;espe
2026-04-20;03:21;VERM ; 53.54;espe
2026-05-21;04:28;VERD ; 54.54;espe
2026-06-22;05:35;AZUL ; 55.28;falh
2026-07-23;06:42;VERM ; 56.46;falh
2026-08-24;07:49;VERD ; 57.92;falh
2026-09-25;08:56;AZUL ; 58.24;falh
2026-10-26;09:03;VERM ; 59.25;falh
2026-11-27;10:10;VERD ; 10.30;falh
2026-12-28;11:17;AZUL ; 11.86;falh
2026-01-01;12:24;VERM ; 12.30;ok  
2026-02-02;13:31;VERD ; 13.83;ok  
2026-03-03;14:38;AZUL ; 14.93;ok  
2026-04-04;15:45;VERM ; 15.88;ok  
2026-05-05;16:52;VERD ; 16.80;ok  
2026-06-06;17:59;AZUL ; 17.19;ok  
2026-07-07;18:06;VERM ; 18.45;ok  
2026-08-08;19:13;VERD ; 19.82;espe
2026-09-09;20:20;AZUL ; 20.25;espe
2026-10-10;21:27;VERM ; 21.60;espe
2026-11-11;22:34;VERD ; 22.87;espe
2026-12-12;23:41;AZUL ; 23.93;espe
2026-01-13;00:48;VERM ; 24.35;espe
2026-02-14;01:55;VERD ; 25.12;espe
2026-03-15;02:02;AZUL ; 26.03;falh
2026-04-16;03:09;VERM ; 27.32;falh
2026-05-17;04:16;VERD ; 28.55;falh
2026-06-18;05:23;AZUL ; 29.28;falh
2026-07-19;06:30;VERM ; 30.82;falh
2026-08-20;07:37;VERD ; 31.65;falh
2026-09-21;08:44;AZUL ; 32.62;falh
2026-10-22;09:51;VERM ; 33.83;ok  
2026-11-23;10:58;VERD ; 34.33;ok  
2026-12-24;11:05;AZUL ; 35.65;ok  
2026-01-25;12:12;VERM ; 36.35;ok  
2026-02-26;13:19;VERD ; 37.29;ok  
2026-03-27;14:26;AZUL ; 38.11;ok  
2026-04-28;15:33;VERM ; 39.79;ok  
2026-05-01;16:40;VERD ; 40.90;espe
2026-06-02;17:47;AZUL ; 41.03;espe
2026-07-03;18:54;VERM ; 42.72;espe
2026-08-04;19:01;VERD ; 43.06;espe
2026-09-05;20:08;AZUL ; 44.42;espe
2026-10-06;21:15;VERM ; 45.32;espe
2026-11-07;22:22;VERD ; 46.90;espe
2026-12-08;23:29;AZUL ; 47.43;falh
2026-01-09;00:36;VERM ; 48.51;falh
2026-02-10;01:43;VERD ; 49.36;falh
2026-03-11;02:50;AZUL ; 50.25;falh
2026-04-12;03:57;VERM ; 51.24;falh
2026-05-13;04:04;VERD ; 52.06;falh
2026-06-14;05:11;AZUL ; 53.01;falh
2026-07-15;06:18;VERM ; 54.55;ok  
2026-08-16;07:25;VERD ; 55.74;ok  
2026-09-17;08:32;AZUL ; 56.67;ok  
2026-10-18;09:39;VERM ; 57.26;ok  
2026-11-19;10:46;VERD ; 58.99;ok  
2026-12-20;11:53;AZUL ; 59.08;ok  
2026-01-21;12:00;VERM ; 10.43;ok  
2026-02-22;13:07;VERD ; 11.33;espe
2026-03-23;14:14;AZUL ; 12.18;espe
2026-04-24;15:21;VERM ; 13.96;espe
2026-05-25;16:28;VERD ; 14.72;espe
2026-06-26;17:35;AZUL ; 15.13;espe
2026-07-27;18:42;VERM ; 16.18;espe
2026-08-28;19:49;VERD ; 17.81;espe
2026-09-01;20:56;AZUL ; 18.37;falh
2026-10-02;21:03;VERM ; 19.30;falh
2026-11-03;22:10;VERD ; 20.30;falh
2026-12-04;23:17;AZUL ; 21.33;falh
2026-01-05;00:24;VERM ; 22.59;falh
2026-02-06;01:31;VERD ; 23.31;falh
2026-03-07;02:38;AZUL ; 24.59;falh
2026-04-08;03:45;VERM ; 25.06;ok  
2026-05-09;04:52;VERD ; 26.54;ok  
2026-06-10;05:59;AZUL ; 27.58;ok  
2026-07-11;06:06;VERM ; 28.32;ok  
2026-08-12;07:13;VERD ; 29.87;ok  
2026-09-13;08:20;AZUL ; 30.93;ok  
2026-10-14;09:27;VERM ; 31.66;ok  
2026-11-15;10:34;VERD ; 32.41;espe
2026-12-16;11:41;AZUL ; 33.17;espe
2026-01-17;12:48;VERM ; 34.63;espe
2026-02-18;13:55;VERD ; 35.29;espe
2026-03-19;14:02;AZUL ; 36.16;espe
2026-04-20;15:09;VERM ; 37.53;espe
2026-05-21;16:16;VERD ; 38.20;espe
2026-06-22;17:23;AZUL ; 39.64;falh
2026-07-23;18:30;VERM ; 40.76;falh
2026-08-24;19:37;VERD ; 41.01;falh
2026-09-25;20:44;AZUL ; 42.63;falh
2026-10-26;21:51;VERM ; 43.19;falh
2026-11-27;22:58;VERD ; 44.34;falh
2026-12-28;23:05;AZUL ; 45.72;falh
2026-01-01;00:12;VERM ; 46.97;ok  
2026-02-02;01:19;VERD ; 47.31;ok  
2026-03-03;02:26;AZUL ; 48.75;ok  
2026-04-04;03:33;VERM ; 49.35;ok  
2026-05-05;04:40;VERD ; 50.94;ok  
2026-06-06;05:47;AZUL ; 51.17;ok  
2026-07-07;06:54;VERM ; 52.66;ok  
2026-08-08;07:01;VERD ; 53.08;espe
2026-09-09;08:08;AZUL ; 54.56;espe
2026-10-10;09:15;VERM ; 55.74;espe
2026-11-11;10:22;VERD ; 56.91;espe
2026-12-12;11:29;AZUL ; 57.77;espe
2026-01-13;12:36;VERM ; 58.55;espe
2026-02-14;13:43;VERD ; 59.40;espe
2026-03-15;14:50;AZUL ; 10.63;falh
2026-04-16;15:57;VERM ; 11.65;falh
2026-05-17;16:04;VERD ; 12.61;falh
2026-06-18;17:11;AZUL ; 13.71;falh
2026-07-19;18:18;VERM ; 14.75;falh
2026-08-20;19:25;VERD ; 15.94;falh
2026-09-21;20:32;AZUL ; 16.62;falh
2026-10-22;21:39;VERM ; 17.88;ok  
2026-11-23;22:46;VERD ; 18.74;ok  
2026-12-24;23:53;AZUL ; 19.38;ok  
2026-01-25;00:00;VERM ; 20.80;ok  
2026-02-26;01:07;VERD ; 21.37;ok  
2026-03-27;02:14;AZUL ; 22.83;ok  
2026-04-28;03:21;VERM ; 23.88;ok  
2026-05-01;04:28;VERD ; 24.90;espe
2026-06-02;05:35;AZUL ; 25.91;espe
2026-07-03;06:42;VERM ; 26.69;espe
2026-08-04;07:49;VERD ; 27.50;espe
2026-09-05;08:56;AZUL ; 28.29;espe
2026-10-06;09:03;VERM ; 29.64;espe
2026-11-07;10:10;VERD ; 30.89;espe
2026-12-08;11:17;AZUL ; 31.36;falh
2026-01-09;12:24;VERM ; 32.21;falh
2026-02-10;13:31;VERD ; 33.76;falh
2026-03-11;14:38;AZUL ; 34.91;falh
2026-04-12;15:45;VERM ; 35.21;falh
2026-05-13;16:52;VERD ; 36.14;falh
2026-06-14;17:59;AZUL ; 37.11;falh
2026-07-15;18:06;VERM ; 38.55;ok  
2026-08-16;19:13;VERD ; 39.83;ok  
2026-09-17;20:20;AZUL ; 40.25;ok  
2026-10-18;21:27;VERM ; 41.79;ok  
2026-11-19;22:34;VERD ; 42.05;ok  
2026-12-20;23:41;AZUL ; 43.21;ok  
2026-01-21;00:48;VERM ; 44.55;ok  
2026-02-22;01:55;VERD ; 45.76;espe
2026-03-23;02:02;AZUL ; 46.49;espe
2026-04-24;03:09;VERM ; 47.69;espe
2026-05-25;04:16;VERD ; 48.36;espe
2026-06-26;05:23;AZUL ; 49.38;espe
2026-07-27;06:30;VERM ; 50.52;espe
2026-08-28;07:37;VERD ; 51.00;espe
2026-09-01;08:44;AZUL ; 52.20;falh
2026-10-02;09:51;VERM ; 53.35;falh
2026-11-03;10:58;VERD ; 54.66;falh
2026-12-04;11:05;AZUL ; 55.20;falh
2026-01-05;12:12;VERM ; 56.24;falh
2026-02-06;13:19;VERD ; 57.99;falh
2026-03-07;14:26;AZUL ; 58.65;falh
2026-04-08;15:33;VERM ; 59.41;ok  
